state_name,town,median_household_income,population,median_age,intersection_density,population_density,pct_bachelor,county,median_sale_price,composite_score
Delaware,Bear,79981,21625,37.4,126.51,1487.68,0.21,"New Castle, DE",355512.5,27.88
Delaware,Bellefonte,78155,1294,41.7,160.29,2765.46,0.23,"New Castle, DE",355512.5,29.22
Delaware,Bridgeville,53276,2499,56.3,103.64,1355.96,0.24,"Sussex, DE",450929.2,29.71
Delaware,Brookside,62810,14202,34.8,114.36,1481.87,0.16,"New Castle, DE",355512.5,22.01
Delaware,Camden,65023,3786,36.9,138.94,732.63,0.28,"Kent, DE",344872.0,29.67
Delaware,Cheswold,60766,1705,43.5,51.45,985.55,0.12,"Kent, DE",344872.0,17.91
Delaware,Claymont,58984,9508,36.7,153.38,1613.25,0.19,"New Castle, DE",355512.5,24.06
Delaware,Clayton,91346,3845,35.9,55.11,917.32,0.12,"Clayton, DE",394097.38,23.67
Delaware,Dagsboro,56029,1087,50.1,38.08,270.58,0.09,"Sussex, DE",450929.2,19.33
Delaware,Delaware City,65625,1885,39.0,179.67,2585.38,0.15,"New Castle, DE",355512.5,23.6
Delaware,Dover,51073,38940,34.4,212.88,723.54,0.14,"Kent, DE",344872.0,21.2
Delaware,Dover Base Housing,53260,3135,27.1,162.16,2074.98,0.2,"Kent, DE",344872.0,23.88
Delaware,Edgemoor,67841,6681,41.2,124.33,1483.27,0.2,"New Castle, DE",355512.5,25.75
Delaware,Elsmere,66833,6167,34.1,231.46,3222.14,0.12,"New Castle, DE",355512.5,22.71
Delaware,Felton,55833,1144,48.8,158.99,1490.86,0.11,"Kent, DE",344872.0,18.92
Delaware,Frankford,71667,1088,32.4,42.43,699.44,0.08,"Sussex, DE",450929.2,20.56
Delaware,Georgetown,42204,7079,35.8,101.85,530.15,0.07,"Sussex County, DE",297703.54,11.29
Delaware,Glasgow,96954,15342,41.4,60.19,501.32,0.22,"New Castle, DE",355512.5,29.23
Delaware,Greenville,118618,2763,40.0,71.33,430.29,0.39,"New Castle, DE",355512.5,42.29
Delaware,Greenwood,63717,1459,36.3,131.77,1137.58,0.11,"Sussex, DE",450929.2,23.68
Delaware,Harrington,62639,3730,28.5,78.24,673.95,0.06,"Kent, DE",344872.0,14.41
Delaware,Highland Acres,96131,3910,42.9,74.88,1235.42,0.28,"Kent, DE",344872.0,32.73
Delaware,Hockessin,158036,13464,45.8,59.57,484.9,0.33,"New Castle, DE",355512.5,44.23
Delaware,Kent Acres,39236,1756,37.7,129.42,880.87,0.12,"Kent, DE",344872.0,16.67
Delaware,Laurel,34615,3886,20.0,90.21,1085.35,0.09,"Sussex, DE",450929.2,17.34
Delaware,Lewes,78125,3257,65.7,81.33,269.74,0.25,"Sussex, DE",450929.2,33.4
Delaware,Long Neck,52301,3022,61.5,91.46,573.43,0.1,"Sussex, DE",450929.2,20.99
Delaware,Middletown,93750,23001,40.3,87.62,688.97,0.23,"New Castle, DE",355512.5,30.04
Delaware,Milford,47849,11249,41.8,104.34,752.37,0.18,"Sussex, DE",450929.2,25.14
Delaware,Millsboro,57632,6542,43.3,153.72,1180.33,0.17,"Sussex, DE",450929.2,26.79
Delaware,Millville,85221,1790,64.1,46.49,354.15,0.33,"Sussex, DE",450929.2,38.0
Delaware,Milton,59531,3224,42.5,149.3,911.65,0.23,"Sussex, DE",450929.2,30.42
Delaware,Newark,61646,31393,22.7,217.83,964.51,0.27,"New Castle, DE",355512.5,30.72
